"city_slug","city_name","city_province","restaurant_id","restaurant_name","restaurant_type","deal_id","deal_title","deal_summary","deal_description","deal_type","deal_price","day_of_week","days_of_week","start_hour","end_hour","last_verified","is_active"
"lethbridge","Lethbridge","AB","telegraph-taphouse","Telegraph Taphouse","local","telegraph-whiskey-fri","Friday Feeling","25% off whiskey, $5 shots","Friday Feeling - kick off the weekend with 25% off all whiskey varieties after 7pm and $5 bartender's choice shot. Choose from Canadian, American, Scotch, and Irish whiskey, bourbon, and rye. Available neat, on the rocks, or in classic cocktails like Old Fashioned, Whiskey Sour, or Manhattan. Rotating selection. Dine-in only.","drink","25% off whiskey after 7pm, $5 shot","5","","19","","2025-11-21","true"
"lethbridge","Lethbridge","AB","telegraph-taphouse","Telegraph Taphouse","local","telegraph-whiskey-sat","Saturday Spirits","25% off whiskey, $5 shots","Saturday Spirits - keep the weekend spirit alive with 25% off whiskey and $5 shots after 7pm. Same great whiskey selection and bartender's choice shots as Friday. Perfect for Saturday night out. Dine-in only.","drink","25% off whiskey after 7pm, $5 shot","6","","19","","2025-11-21","true"
"lethbridge","Lethbridge","AB","boston-pizza","Boston Pizza","chain","bp-pizza-monday","Pizza Monday","$10 individual pizzas","Pizza Monday specials all day - $10 individual pizzas (signature recipes or create your own with up to 4 toppings). Options include Pepperoni, Hawaiian, Deluxe, Meat Lovers, Vegetarian, BBQ Chicken, and more. Hand-pressed dough with premium toppings and signature pizza sauce. Dine-in only. Available at both Lethbridge locations.","food","$10","1","","","","2025-11-21","true"
"lethbridge","Lethbridge","AB","boston-pizza","Boston Pizza","chain","bp-pasta-tuesday","Pasta Tuesday","Pasta starting at $11.99","Pasta Tuesday specials all day starting at $11.99 on select pasta dishes. Choose from Spaghetti, Penne, Fettuccine Alfredo, Lasagna, Baked Seven Cheese Ravioli, Jambalaya Fettuccine, and more. All pasta dishes served with garlic toast. Add chicken, shrimp, or Italian sausage for extra protein. Dine-in only. Available at both Lethbridge locations.","food","From $11.99","2","","","","2025-11-21","true"
"lethbridge","Lethbridge","AB","boston-pizza","Boston Pizza","chain","bp-wing-wednesday","Wing Wednesday","50% off starter wings","Wing Wednesday - 50% off starter wings all day. Choose from over a dozen sauces and dry rubs including Buffalo, Honey Garlic, BBQ, Teriyaki, Thai Chili, Hot, Medium, Mild, Salt & Pepper, Cajun, Lemon Pepper, and more. Served with celery, carrots, and ranch or blue cheese dip. Available in different sizes (10, 20, or 30 wings). Dine-in only. Available at both Lethbridge locations.","food","50% off","3","","","","2025-11-21","true"
"lethbridge","Lethbridge","AB","boston-pizza","Boston Pizza","chain","bp-appy-thursday","Appy Thursday","Buy 2 apps, get 3rd FREE","Appetizer Thursday - Buy 2 appetizers, get the 3rd FREE all day. Choose from Spinach Dip, Potato Skins, Chicken Fingers, Nachos, Mozzarella Sticks, Onion Rings, Quesadillas, Baked Three Cheese Dip, and more. Perfect for sharing or as a meal. Dine-in only. Available at both Lethbridge locations.","food","Buy 2 get 1 FREE","4","","","","2025-11-21","true"
"lethbridge","Lethbridge","AB","duke-pub","Duke Pub","local","duke-taco-tuesday","Toonie Taco Tuesday","$2 tacos after 2pm","Tuesday special featuring $2 Toonie Tacos after 2pm - choose from seasoned beef or chicken with toppings. Sub shrimp for +$2. Plus drink specials: $5 Corona bottles and $6 Paloma cocktails. Popular student night near University of Lethbridge campus. Dine-in only.","both","$2 tacos","2","","14","","2025-11-21","true"
"lethbridge","Lethbridge","AB","duke-pub","Duke Pub","local","duke-wing-wednesday","Wing Wednesday","79¢ wings after 2pm","Wing Wednesday - 79¢ per wing (bone-in or boneless) after 2pm with purchase of a beverage. 10 wings per order. Choose from Buffalo, BBQ, Honey Garlic, Teriyaki, Hot, Medium, Mild, or Dry Cajun. No dip or veggies included. Plus drink specials: $5.75 Domestic Draft (Canadian/Kokanee) or $6.25 Premium Domestic (Rickards Red/Blue Moon) 16oz. Very popular with University of Lethbridge students. Arrive early or expect a wait. Dine-in only.","both","79¢/wing","3","","14","","2025-11-21","true"
"lethbridge","Lethbridge","AB","bar-one","Bar One","local","bar-one-taco-tue","Taco Night","$4 tacos after 4pm","Taco Tuesday featuring $4 tacos from 4pm to close. Choose from Chipotle Lime Chicken Tacos or Cajun Shrimp Tacos served in soft flour or crispy corn tortillas. Plus $5.25 Coronas. Great value for taco lovers. Dine-in only.","both","$4 tacos, $5.25 Coronas","2","","16","","2025-11-21","true"
"lethbridge","Lethbridge","AB","bar-one","Bar One","local","bar-one-wing-thu","Wing Thursday","50% off wings after 4pm","Wing Thursday featuring 50% off wings from 4pm to close, plus $6 House Draft. Choose from bone-in or boneless wings tossed in your choice of sauce: Salt & Pepper, Lemon Pepper, Hot, BBQ, Honey Garlic, Bourbon, Sweet Chili, Spicy Southern Barbeque, or Teriyaki. Served with celery, carrots, and ranch or blue cheese dipping sauce. Dine-in only.","both","50% off wings, $6 draft","4","","16","","2025-11-21","true"
"lethbridge","Lethbridge","AB","taco-time","Taco Time","chain","taco-time-tuesday","Taco Tuesday","Discounted tacos","Taco Tuesday specials featuring discounted tacos all day. Choose from seasoned ground beef, grilled chicken, or refried bean tacos. Served in crispy corn or soft flour tortillas with lettuce, cheese, tomatoes, and signature sauces. Available in combos with sides and drinks. Dine-in, takeout, or drive-thru. Available at all Lethbridge locations.","food","","2","","","","","true"
"lethbridge","Lethbridge","AB","blanco-cantina","Blanco Cantina","local","blanco-taco-tuesday","Taco Tuesday","1/2 price classic, $5 off premium","Taco Tuesdaze at Blanco Cantina featuring 1/2 price classic tacos and $5 off premium tacos with beverage purchase. Classic: mojo pork, crispy fish, chicken tinga, braised beef, garlic mushroom, baja shrimp. Premium: diablo shrimp, pinche gringo, bulgogi steak, crispy cauliflower, jalisco hot chicken, quesabirria. Served with cabbage, onion, cilantro, jalapeño. Vibrant cantina atmosphere. Dine-in only.","food","1/2 price classic, $5 off premium","2","","","","2025-11-21","true"
"lethbridge","Lethbridge","AB","streats-west","Streats West","local","streats-fish-tacos-tue","Fish Tacos","$3 fish tacos","Tuesday fish tacos for only $3 each. Crispy battered or grilled fish on soft flour tortillas with fresh cabbage slaw, pico de gallo, lime crema, and cilantro. Made with fresh Pacific cod. Order as many as you want. Great value for taco lovers. Available all day Tuesday. Dine-in or takeout.","food","$3","2","","","","","true"
"lethbridge","Lethbridge","AB","streats-west","Streats West","local","streats-taco-thursday","Taco Thursday","Discounted tacos","Taco Thursday featuring discounted tacos all day. Choose from seasoned beef, grilled chicken, pork carnitas, or grilled vegetables. Served on soft flour or crispy corn tortillas with fresh toppings, salsa, and lime. Build your own taco bowl or order traditional tacos. Dine-in or takeout.","food","","4","","","","","true"
"lethbridge","Lethbridge","AB","steel-and-vines","Steel & Vines","local","steel-vines-tuesday","Tuesday Discount","Tuesday specials on food & drinks","Tuesday discount on select menu items all day. Modern gastropub featuring elevated comfort food and craft cocktails. Discount applies to featured appetizers, mains, and select drinks. Check with server for today's Tuesday specials. Stylish industrial atmosphere with exposed brick and steel accents. Dine-in only.","both","","2","","","","","true"
"lethbridge","Lethbridge","AB","pops-taphouse","Pop's Taphouse","local","pops-burger-brew-wed","Burger & Brew Special","Burger + beer combo","Wednesday burger and brew special all day. Choose from classic beef burger, bacon cheeseburger, mushroom Swiss burger, or chicken burger served on a toasted brioche bun with lettuce, tomato, onion, pickles, and house sauce. Comes with fries or Caesar salad and a craft beer or domestic pint. Dine-in only. Available at both North & South locations.","both","","3","","","","2025-11-21","true"
"lethbridge","Lethbridge","AB","pops-taphouse","Pop's Taphouse","local","pops-wing-thursday","Wing Night","49¢ wings","Wing Thursday featuring 49¢ wings all day. Choose from bone-in or boneless tossed in your favorite sauce: Buffalo, Honey Garlic, BBQ, Teriyaki, Hot, Medium, Mild, Lemon Pepper, Cajun, or Thai Chili. Served with celery, carrots, and ranch or blue cheese dip. Order by the pound. Very popular - arrive early or expect a wait. Dine-in only. Available at both North & South locations.","food","49¢/wing","4","","","","2025-11-21","true"
"lethbridge","Lethbridge","AB","pops-taphouse","Pop's Taphouse","local","pops-fish-chips-fri","Fish & Chips Special","$10.95 fish & chips","Friday fish and chips special all day for $10.95. Beer-battered Atlantic cod filets fried golden and crispy, served with fresh-cut fries, coleslaw, tartar sauce, and lemon wedges. Two-piece or three-piece options available. Classic pub favorite perfect for Friday night. Dine-in or takeout. Available at both North & South locations.","food","$10.95","5","","","","2025-11-21","true"
"lethbridge","Lethbridge","AB","pops-taphouse","Pop's Taphouse","local","pops-pasta-saturday","Pasta Saturday","$9.75 build your own pasta","Pasta Saturday featuring $9.75 build your own pasta all day. Choose your pasta style and sauce. Options include Fettuccine Alfredo, Spaghetti Bolognese, Penne Arrabbiata, Carbonara, or Lasagna. All pasta dishes served with garlic toast and house salad. Add grilled chicken, shrimp, or Italian sausage for extra protein. Dine-in or takeout. Available at both North & South locations.","food","$9.75","6","","","","2025-11-21","true"
"lethbridge","Lethbridge","AB","pops-taphouse","Pop's Taphouse","local","pops-steak-sunday","Steak Sunday","$10.95 steak sandwich","Steak Sunday featuring $10.95 steak sandwich special all day. Top sirloin steak served with fries, 2 onion rings, and warm garlic toast. Great value for a Sunday dinner. Topped with herb butter. Add sautéed mushrooms or peppercorn sauce for extra flavor. Dine-in only. Available at both North & South locations.","food","$10.95","0","","","","2025-11-21","true"
"lethbridge","Lethbridge","AB","honkers-pub","Honkers Pub","local","honkers-daily-specials","Daily Specials","Rotating food specials","Daily food specials Monday through Wednesday from 2pm to close. Rotating menu featuring pub classics like burgers, sandwiches, wings, and mains at discounted prices. Check the board or ask your server for today's featured specials. Great value for weekday afternoons and evenings. Dine-in only.","food","","","1;2;3","14","","","true"
"lethbridge","Lethbridge","AB","honkers-pub","Honkers Pub","local","honkers-happy-hour-weekday","Happy Hour Bevies","Drink specials","Happy hour beverage specials Monday through Wednesday from 2pm to close. Discounted draft beer, domestic bottles, well drinks, and house wine. Perfect for after-work drinks or watching the game. Extended happy hour runs all the way to closing. Dine-in only.","drink","","","1;2;3","14","","","true"
"lethbridge","Lethbridge","AB","honkers-pub","Honkers Pub","local","honkers-happy-hour-weekend","Happy Hour","Fri-Sat 2pm-6pm happy appy specials","Weekend happy hour Friday and Saturday from 2pm to 6pm featuring happy hour appetizer specials. Choose from wings, nachos, sliders, potato skins, mozzarella sticks, and more at discounted prices. Pair with drink specials for the perfect start to your weekend. Dine-in only.","both","","","5;6","14","18","","true"
"lethbridge","Lethbridge","AB","ten-ten-pub","Ten Ten Pub","local","ten-ten-wings-thu","Wing Night","Discounted wings","Wing night every Thursday featuring discounted wings all night. Choose from bone-in or boneless tossed in classic pub sauces: Buffalo, BBQ, Honey Garlic, Teriyaki, Hot, Medium, Mild, or Dry Cajun. Served with celery, carrots, and ranch or blue cheese dip. Order by the pound. Local neighborhood pub atmosphere. Dine-in only.","food","","4","","","","","true"
"lethbridge","Lethbridge","AB","firestone","Firestone Restaurant","local","firestone-brunch","Weekend Brunch","Sat-Sun 7am-2pm","Weekend brunch Saturday and Sunday from 7am to 2pm. Full brunch menu featuring eggs benedict, pancake stacks, French toast, breakfast skillets, omelettes, avocado toast, breakfast sandwiches, and classic breakfast combos. Fresh-baked pastries and specialty coffee drinks. Family-friendly atmosphere. Dine-in or takeout.","food","","","0;6","7","14","","true"
"lethbridge","Lethbridge","AB","firestone","Firestone Restaurant","local","firestone-desserts-dark","Desserts After Dark","Discounted desserts after 8pm","Desserts After Dark Sunday through Thursday from 8pm to close. Discounted premium cheesecakes, layer cakes, tortes, brownies, and specialty desserts. Pair with specialty espresso drinks, cappuccinos, lattes, or affogatos. Perfect late-night sweet treat or date night dessert. Cozy atmosphere ideal for lingering. Dine-in only.","food","","","0;1;2;3;4","20","","","true"
"lethbridge","Lethbridge","AB","italian-table","Italian Table","local","italian-sunday-brunch","Sunday Brunch","Italian-inspired brunch","Sunday brunch featuring Italian-inspired brunch dishes all day. Menu includes frittatas, Italian Benedict with prosciutto and poached eggs, ricotta pancakes, tiramisu French toast, breakfast pizza, caprese omelettes, and continental options. Pair with Mimosas, Bellinis, or Italian espresso drinks. Elegant casual atmosphere. Dine-in only.","food","","0","","","","","true"
"lethbridge","Lethbridge","AB","italian-table","Italian Table","local","italian-happy-hour","Happy Hour","Discounted appetizers & drinks","Daily happy hour features discounted appetizers and drinks. Featured items include bruschetta, calamari, arancini, caprese salad, and Italian meatballs. Drink specials on house wine, prosecco, select cocktails, and Italian beer. Perfect for pre-dinner drinks or casual evening out. Check with server for daily times. Dine-in only.","both","","","0;1;2;3;4;5;6","","","","true"
"lethbridge","Lethbridge","AB","water-tower","Water Tower Grill","local","water-tower-cocktail-hour","Cocktail Hour","20% off cocktails & beer 2-5pm","Daily cocktail hour from 2pm to 5pm featuring 20% off all cocktails and beer. Extensive cocktail menu includes classics, signature creations, and seasonal features. Draft and bottled beer selection from local and international breweries. Upscale gastropub atmosphere with riverside views. Perfect for after-work drinks or weekend relaxation. Dine-in only.","drink","","","0;1;2;3;4;5;6","14","17","","true"
"lethbridge","Lethbridge","AB","the-keg","The Keg Steakhouse","chain","keg-happy-hour-weekday","Happy Hour","Happy hour menu from $10","Happy hour specials: Mon-Fri 3-5pm. $10 garlic cheese toast, $15 tuna tartare, $15 three pepper wings, $20 Keg burger + fries, $24 prime rib sandwich.","both","","","1;2;3;4;5","15","17","","true"
"lethbridge","Lethbridge","AB","the-keg","The Keg Steakhouse","chain","keg-happy-hour-late-weekday","Late Night Happy Hour","Happy hour menu from $10","Late night happy hour: Sun-Thu 9pm-close. $10 garlic cheese toast, $15 tuna tartare, $15 three pepper wings, $20 Keg burger + fries, $24 prime rib sandwich.","both","","","0;1;2;3;4","21","","","true"
"lethbridge","Lethbridge","AB","the-keg","The Keg Steakhouse","chain","keg-happy-hour-late-weekend","Late Night Happy Hour","Happy hour menu from $10","Late night happy hour: Fri-Sat 10pm-close. $10 garlic cheese toast, $15 tuna tartare, $15 three pepper wings, $20 Keg burger + fries, $24 prime rib sandwich.","both","","","5;6","22","","","true"
"lethbridge","Lethbridge","AB","mr-mikes","MR MIKES","chain","mikes-happiest-hours","Happiest Hours","Bites & Booze from $5","Happiest Hours daily 2-5pm featuring Bites & Booze from $5. Menu includes: Garlic Parmesan Fries ($5), Mikes Loaded Fries ($6), Bruschetta 4pc ($7), Caesar Salad ($8), miniMikes with bacon ($9), Chicken Bites ($9), Double Fries Poutine ($11), Crispy Panko Shrimp 2 dozen ($13), Hot Lobster Dunk ($13), Cajun Chicken Sandwich with fries ($13), Steak Frites ($25). Drink specials: wines from $5, draft beers $7, well highballs $5. Casual steakhouse atmosphere. Dine-in only.","both","From $5","","0;1;2;3;4;5;6","14","17","2025-11-21","true"
"lethbridge","Lethbridge","AB","mr-mikes","MR MIKES","chain","mikes-happiest-hours-late","Happiest Hours Late","Same menu 9pm-close","Late night Happiest Hours daily from 9pm to close featuring the same great food and drink specials from $5. Same menu as afternoon happy hour: Garlic Parmesan Fries ($5), Mikes Loaded Fries ($6), Bruschetta ($7), Caesar Salad ($8), miniMikes ($9), Chicken Bites ($9), Double Fries Poutine ($11), Crispy Panko Shrimp ($13), Hot Lobster Dunk ($13), Cajun Chicken Sandwich ($13), Steak Frites ($25). Perfect for night owls and late dinners. Dine-in only.","both","From $5","","0;1;2;3;4;5;6","21","","2025-11-21","true"
"lethbridge","Lethbridge","AB","rivaaz","Rivaaz Indian Pizza & Cuisine","local","rivaaz-lunch-special","Lunch Special","Lunch combos & curries","Lunch special Monday through Friday from 11am to 4pm featuring discounted Indian cuisine and pizza combinations. Choose from curry dishes (butter chicken, tikka masala, vindaloo), biryani, tandoori specialties, or fusion Indian pizzas. Served with naan bread or rice. Authentic flavors and generous portions. Great value for lunch. Dine-in only.","food","","","1;2;3;4;5","11","16","","true"
"lethbridge","Lethbridge","AB","dono-sushi","Dono Sushi","local","dono-lunch-special","Lunch Specials","~$20 combo deals","Weekday lunch specials Monday through Friday from 11am to 2pm with combo deals around $20. Includes choice of sushi rolls, sashimi, nigiri, or donburi bowls paired with miso soup, salad, and edamame or gyoza. Popular combos include California rolls, spicy tuna, salmon sashimi, chicken teriyaki bowl, and tempura selections. Fresh ingredients prepared daily. Dine-in or takeout.","food","~$20","","1;2;3;4;5","11","14","","true"
"lethbridge","Lethbridge","AB","two-guys-pizza","Two Guys & A Pizza Place","local","two-guys-daily","Daily Specials","Daily pizza, wing & beer specials","Daily specials Tuesday through Sunday on food and drinks. Famous for throwback pizzas at throwback prices featuring classic recipes from the 90s. Different specials each day of the week including wing nights, pasta specials, and pizza deals. Happy hour drink specials. Extensive selection of over 90 craft beers on tap and in bottles from local and international breweries. Lively sports bar atmosphere. Dine-in or takeout.","both","","","2;3;4;5;6;0","","","","true"
"lethbridge","Lethbridge","AB","canadian-brewhouse","The Canadian Brewhouse","chain","brewhouse-wing-wednesday","Wing Wednesday","69¢ wings","Wing Wednesday featuring 69¢ wings all day (minimum 10 wings per order = $6.90 for 10). Choose from dozens of sauces and dry rubs including Buffalo, Honey Garlic, BBQ, Teriyaki, Thai Chili, Hot, Medium, Mild, Salt & Pepper, Cajun, Lemon Pepper, and more. Bone-in or boneless available. Served with celery, carrots, and ranch or blue cheese dip. Sports bar atmosphere with big screens. Dine-in or takeout.","food","69¢/wing","3","","","","2025-11-21","true"
"lethbridge","Lethbridge","AB","canadian-brewhouse","The Canadian Brewhouse","chain","brewhouse-pasta-thursday","Pasta Thursday","$9.99 pasta","Pasta Thursday featuring five plates of pasta available every Thursday, all day, for $9.99. Choose from various pasta styles and sauces. All pasta dishes served with garlic toast. Great value for pasta lovers. Unique venue features rooftop patio with city views and basement bowling alley for entertainment. Sports bar atmosphere. Dine-in or takeout.","food","$9.99","4","","","","2025-11-21","true"
"lethbridge","Lethbridge","AB","canadian-brewhouse","The Canadian Brewhouse","chain","brewhouse-appy-friday","Appy Hour Hat Trick","Buy 2 apps, get 3rd free","Friday Appy Hour Hat Trick from 4pm-7pm - buy two appetizers and get the third for free. Choose from extensive menu of Canadian pub favorites including poutine, nachos, wings, sliders, and shareables. Perfect way to start the weekend. Sports bar atmosphere with big screens and rooftop patio. Dine-in only.","food","Buy 2 get 1 free","5","","16","19","2025-11-21","true"
